"","x"
"35"," 오류를 우회하기 위한 함수 추가 보기에는 똑같지만 엄연히 다르다 나 를 타면 객실을 돌아다니는 승무원들을 만나게 됩니다 검표 업무를 담당하기도 하고 객실 내 온도를 점검하기도 하며 짐칸의 짐이 안전한지도 확인하고 승객들의 민원도 처리해 줍니다 그런데 손님들 눈에는 다 똑같아 보이는데 엄밀하게 보면 객실 승무원도 구분이 있습니다 코레일 소속의 열차팀장과 코레일 자회사인 코레일관광개발 소속의 객실 승무원입니다 보통 열차 한 편성에는 열차팀장 명과 객실 승무원 명이 탑승하게 됩니다 회사가 다른 만큼 공식적인 업무도 다르다고 합니다 철도노조 설명에 따르면 열차팀장은 열차와 승객의 안전 업무를 담당하고 객실 승무원들은 승객 서비스 업무를 담당하게 돼 있습니다 단 비상시에는 열차팀장을 보조해 안전업무를 수행해야 하는데 이 경우에도 열차팀장의 지시에 따라 안전업무를 수행하게 돼 있다고 합니다 철도노조는 년 월 강릉 탈선사고를 들어 이 규정이 심각한 문제점을 지니고 있다고 주장합니다 당시 사고가 나자 객실 승무원들이 승객에 대한 안전 조치를 취하려고 했지만 열차팀장의 지시를 받아야 한다는 규정 때문에 적극적인 대처가 힘들었다는 겁니다 승무원 명 파업 처우개선 직접고용 요구이 코레일관광개발 소속 객실 승무원 여 명이 오늘 일 새벽 시부터 파업에 들어갔습니다 코레일 본사와 비교하면 현저히 떨어지는 처우를 개선하고 안전업무 종사자들은 직접 고용하라는 것이 핵심 요구사항입니다 표면적으로는 코레일 본사보다 수준에 불과한 처우개선이지만 핵심 사항은 직접 고용 문제입니다 문재인 정부 들어 비정규직 정규직 전환의 주요 원칙 중 하나가 상시 지속적 업무 종사자에 대한 정규직 전환입니다 특히 생명 안전 업무는 직접 고용을 원칙으로 한다고 천명했습니다 노조는 이 원칙을 강조하는 한편 강릉 탈선 사례를 들며 여객 승무원들 역시 생명 안전 업무 종사자인 만큼 직접 고용하라고 요구하고 있습니다 사측도 이 문제에 대해 전향적으로 고민한 흔적이 있습니다 년 월 철도노조 위원장과 당시 오영식 코레일 사장이 서명한 노사 및 전문가 중앙협의기구 합의서입니다 합의서를 보면 국민의 생명 안전 업무 및 주요시설물 감시 업무는 한국철도공사가 직접 수행하고 그 종사자 명은 공사에서 직접 고용하도록 했습니다 이뿐 아니라 철도공사 관련 노동자들의 정규직 전환에 대한 여러 원칙이 상세히 적혀 있습니다 여기에 열차 승무원들 관련 내용도 포함돼 있습니다 코레일관광개발의 열차 내 고객서비스 업무 종사자 명에 대해서는 전문가 조정을 의뢰하고 전문가 실사 등을 거쳐 제시된 조정안 에 따르기로 했습니다 그로부터 개월 뒤인 년 월 드디어 전문가 조정 결정서가 나왔습니다 가지 항목으로 구성돼 있는데 번째 항목이 핵심입니다 철도안전강화로 국민의 생명과 안전을 보호하는 것이 공공기관으로서 사회적 책임을 다하는 것이라는 점을 고려하여 코레일관광개발 주 에 위탁 중인 열차 내 고객서비스 업무에 대해 관련법 및 규정 제 개정 등을 통해 전환할 것을 권고한다 고 돼 있습니다 이번에 관광개발 노조가 파업에 들어가며 코레일 측이 합의를 어겼다고 주장하는 바로 그 대목입니다 합의사항 둘러싼 서로 다른 해석들노조는 년 월 노사 합의 사항이 전문가 조정 결정 을 따르기로 강제했고 개월 뒤 전문가 조정 결정서 를 보면 전환할 것을 권고한다 고 돼 있는 만큼 승무원들을 당연히 직접 고용해야 한다는 입장입니다 코레일 사측에서도 전향적으로 생각하고 있었는데 탈선 사고 등으로 철도공사 사장이 바뀌면서 사측의 입장도 바뀌었다고도 주장했습니다 반면 철도공사 사측은 같은 문장에서 관련법 및 규정 제 개정 등을 통해 라는 부분을 강조하고 있습니다 객실 승무원들을 직접 고용한다는 원칙에는 반대하지 않지만 그러기 위해서는 관련법이 먼저 제 개정돼야 한다는 논리입니다 그리고 관련법 개정은 철도공사의 소관이 아니고 엄연히 정부와 국회의 영역인 만큼 철도공사로서는 개정될 때까지 기다릴 수밖에 없다는 겁니다 같은 결정서를 두고서 노사 간 해석이 팽팽히 맞서고 있는 겁니다 그렇다면 전문가 결정서 를 작성한 전문위원들은 어떤 취지로 결정서를 썼을까요 전문위원 중 한 명에게 어렵사리 연락을 해봤습니다 해당 위원은 결정서를 작성할 당시에도 여승무원에 대한 대법원 판례 등으로 인해 노사 간 이견이 팽배했다고 털어놨습니다 그러면서 현행 규정으로는 코레일 사측이 직접고용을 하지 않아도 될 명분이 많이 생기는 만큼 이번 기회에 법령을 명확하게 해서 직접고용을 하도록 했다는 취지라고 설명했습니다 또 법령 제 개정 문구 때문에 현재 노사 간 입장 차이가 생기고 있다는 것도 잘 알고 있다면서 개인적인 입장으로는 법 개정까지 기다리라는 뜻이 아니라 정규직 전환을 위해 적극적으로 나서달라는 의미 라고 설명했습니다 하필 추석에 파업하는 이유는 코레일관광개발 노조원들이 파업에 나선 시기는 추석 명절로 교통 수요가 최고에 달하는 기간 즉 특별수송대책 기간입니다 노조에 연락해서 파업을 하더라도 전 국민이 이동하는 추석을 앞두고 파업에 돌입하는 것은 과도하지 않는지 명절 기간 파업은 전례가 없는 일 아닌지 물어봤습니다 노조 관계자는 국민에게는 정말 죄송하다면서도 뜻밖에 년 월 추석에도 이틀간 파업을 했었다고 했습니다 하지만 열차 운행에 직접 차질을 주지 않아서 파업을 해도 국민들이 잘 모른다고 털어놨습니다 그러면서 평시에 파업하면 국민들이 정말 모를 것 같아서 명절에 파업을 시작한다고도 했습니다 오늘 새벽 파업이 시작되자마자 코레일과 는 비노조원이나 본사 직원들로 대체 근무를 신속히 편성해 곧바로 객차 근무에 투입했습니다 대체 근무자라 하지만 승무 교육을 받거나 승무 경험이 있는 사람들이 대부분이어서 일반 승객들은 누가 대신 근무에 들어왔는지도 모를 수 있습니다 파업은 일까지 이어집니다 추석을 택해 파업을 한 객실 승무원들 이번 파업에서는 소기의 목적을 거둘 수 있을까요 노태영 기자 여심야심 與心ㆍ野心 취재기자가 전하는 국회 뒷 이야기 네이버 채널 뉴스 구독 시원하게 털어드립니다 보다 ㄹㅇ 당신의 진짜 뉴스 케이야 "
"36"," 오류를 우회하기 위한 함수 추가 태백시청사 전경 태백 뉴스 박하림 기자 강원 태백시가 기업지원 인터넷 종합쇼핑몰인 태백몰 을 구축한다고 일 밝혔다 올 추석에 맞춰 오픈할 예정으로 태백에 소재하고 있는 기업이면 누구나 입점 가능하다 시는 총 개 업체를 입점시킬 계획이다 입점 기업에게 교육과 제품 마케팅 개별몰 모바일 쇼핑몰 구축을 무료로 지원한다 입점 희망 기업은 일까지 신청서 등을 구비해 강원도경제진흥원으로 방문 또는 우편으로 신청하면 된다 류태호 태백시장은 특화된 우수 제품을 생산하고도 홍보 부족 등으로 판로에 어려움을 겪고 있는 지역 기업들이 유통망을 개척하고 판매를 촉진하는 데 도움이 되기를 바란다 며 앞으로도 관내 기업들의 경영 안정 및 활성화를 위한 정책들을 지속 발굴 추진하겠다 고 말했다 네이버 메인에서 뉴스 구독하기 뉴스 바로가기 코로나 뉴스 뉴스 코리아 무단 전재 및 재배포 금지 "
"37"," 오류를 우회하기 위한 함수 추가 와 승무원 등이 소속된 코레일관광개발 노조가 임금 인상과 코레일 직접 고용 등을 요구하며 오늘 일 부터 오는 일까지 일간 차 경고 파업 을 벌입니다 전국철도노동조합에 따르면 철도노조 코레일관광개발지부는 오늘 오전 시부터 파업에 돌입하며 오후 시 서울역에서 파업결의대회를 진행합니다 이들 승무원은 검표와 열차 안내방송 등을 담당해 파업하더라도 열차 운행에는 지장이 없지만 승객이 급격히 몰리는 추석 연휴 기간이어서 불편이 우려될 전망입니다 박연신 기자 의견 있는 경제채널 홈페이지 경제를 실험한다 머니랩 네이버 저작권자 미디어넷 무단전재 재배포 금지 "
"38"," 오류를 우회하기 위한 함수 추가 과기정통부 년 월력요항 발표 서울 뉴시스 이재은 기자 내년 실제 공휴일 수는 올해보다 삼일 적은 총 일로 정해졌다 또 내년 가장 긴 연휴는 월 일 토 부터 월 일 수 까지 일간의 추석 연휴다 과학기술정보통신부는 년 단기 년 국내 달력의 기준이 되는 월력요항을 일 발표했다 년 달력의 적색표기일인 관공서의 공휴일로는 일의 일요일과 국경일 설날 등 일의 공휴일을 더해 일이 있으나 현충일 광복절 개천절 이 일요일과 겹쳐 총 공휴일 수는 일이 된다 또한 주 일제를 실시하는 기관의 경우에는 총 공휴일 수인 일과 함께 일의 토요일이 더해져 휴일수가 일이 되나 공휴일 중 토요일과 겹치는 일 설날 연휴 마지막 날 한글날 기독탄신일 로 인해 총 휴일수는 일이 된다 주요 전통명절은 설날 음 월 일 이 월 일 금 이고 정월대보름 음 월 일 은 월 일 금 단오 음 월 일 는 월 일 월 칠석 음 월 일 은 월 일 토 추석 음 월 일 은 월 일 화 이다 또한 한식은 월 일 월 초복은 월 일 일 중복은 월 일 수 말복은 월 일 화 이다 년 월력요항에 관해 자세한 사항은 관보 및 과학기술정보통신부와 한국천문연구원 천문우주지식정보 홈페이지에서 확인할 수 있다 공감언론 뉴시스 네이버에서 뉴시스 구독하기 유명 미술작품 가격 공개 뉴시스 빅데이터 주가시세표 바로가기 공감언론 뉴시스통신사 무단전재 재배포 금지 "
"39"," 오류를 우회하기 위한 함수 추가 추석 연휴 첫날인 오늘 고속도로 귀성길 정체가 본격화되고 있습니다 오늘 일 아침 시를 기준으로 주요 도시 간 예상 소요 시간은 요금소를 기준으로 서울에서 부산까지 시간 분 광주 시간 분 대구 시간 분 대전 시간 분 강릉 시간 분 등입니다 도로 별로 주요 정체 구간을 살펴보면 경부고속도로 부산방향 수원요금소에서 남사요금소까지 구간 안성휴게소에서 망향휴게소까지 구간 천안휴게소에서 비룡분기점까지 구간에서 차량들이 시속 미만으로 운행하고 있습니다 또 서해안고속도로 목포방향 비봉 부근에서 서해대교 부근까지 구간 동 서천분기점에서 부안요금소까지 구간에서 차량들이 정체되고 있습니다 한국도로공사는 오늘 전국 교통량은 만대로 만대가 수도권을 빠져나갈 것으로 보고 있습니다 특히 오늘 오전 시부터 정오까지 정체가 가장 심할 것으로 보이며 이 정체는 오후 내내 이어지다 저녁 시 이후부터 다소 풀릴 것으로 보입니다 올해 추석 연휴에도 전국 고속도로를 이용하는 모든 차량의 통행료가 면제돼 오늘 시부터 모레 일 시 사이에 고속도로를 잠시라도 이용하는 모든 차량은 통행료를 내지 않아도 됩니다 한편 경찰청의 최근 년간 추석 연휴 교통사고 현황을 보면 추석 연휴 기간 중 추석 하루 전날 사고 발생이 가장 많은 것으로 나타났습니다 추석 하루 전날 평균 백여 건의 교통사고로 명의 사망자가 발생하는 만큼 교통법규를 지키고 장시간 운전 할 때는 졸음쉼터나 휴게소에서 휴식을 취해야 합니다 사진 출처 연합뉴스 오대성 기자 여심야심 與心ㆍ野心 취재기자가 전하는 국회 뒷 이야기 네이버 채널 뉴스 구독 시원하게 털어드립니다 보다 ㄹㅇ 당신의 진짜 뉴스 케이야 "
"40"," 오류를 우회하기 위한 함수 추가 일 삼성전자 평택사업장에서 열린 추석맞이 직거래 장터에서 임직원들이 자매마을에서 생산된 상품들을 둘러보고 있다 파이낸셜뉴스 삼성이 조 억원 규모의 협력사 자금 지원 등 추석 상생경영 에 나선다 삼성은 이번 추석 협력사들의 자금 운영에 돕기 위해 조 억원 규모의 물품 대금을 조기 지급하기로 했다고 일 밝혔다 이는 지난해보다 억원 증액된 규모다 이번 물품 대금 조기 지급에는 삼성전자 삼성디스플레이 삼성 삼성전기 삼성 삼성바이오로직스 삼성물산 삼성엔지니어링 제일기획 웰스토리 등 개 계열사가 참여한다 삼성전자는 자금 부담 완화를 위해 지난 년부터 협력사 물품 대금을 월 회 지급하고 있다 삼성 관계자는 이번 추석을 맞아 회사별로 최대 주일 이상 물품 대금을 앞당겨 지급해 협력사의 일시적인 자금 부담이 완화될 것으로 기대된다 고 밝혔다 또 삼성은 전국의 계열사 임직원들에게 자매마을 등에서 생산한 각종 농축산품을 구입할 기회를 제공하고 농어촌 소득 증대를 돕는 온 오프라인 직거래 장터를 운영한다 직거래 장터는 삼성전자와 삼성디스플레이 삼성 삼성중공업 삼성물산 등 개 계열사가 참여해 역대 최대 규모로 진행된다 삼성전자 수원 평택사업장에서는 일까지 자매마을 농업진흥청 협력마을 등 농민들과 함께 직거래 장터를 열어 도라지 한우 한과 배 등 품질좋은 농축산품을 판매한다 기흥 화성 사업장에서도 일까지 자매마을 농촌진흥청 사회적기업 등이 참여한 직거래 장터를 열고 한우 굴비 젓갈 벌꿀 곡물 등 여개의 농축산품을 판매한다 아울러 최대 까지 할인 판매하는 유 아동 도서 특가전도 마련한다 특히 이번 장터에는 삼성전자 스마트공장 구축 지원을 받은 인제군장애인보호작업장 황태 쿠키아 두부과자 헵시바 과일건조칩 제조업체 등 개 업체도 참여했다 삼성 는 일까지 기흥 수원 울산 천안 구미 청주 등 전국 개 사업장에서 추석 직거래 장터를 운영해 자매마을을 비롯한 지역사회의 과일 정육 수산물 등 다양한 특산품을 판매할 예정이다 삼성중공업은 일 거제사업장에서 지역 농 특산품 소비 촉진과 판로확보를 위해 개 업체가 참가한 가운데 지역에서 생산되는 다양한 농 수 특산품과 먹거리를 저렴하게 판매한다 삼성물산은 지난 달 일까지 건설 상사 리조트 등 각 부문별로 자매결연을 맺은 마을과 함께 거봉 블루베리즙 참기름 아카시아꿀 감자 옥수수 등 특산품 직거래 장터와 온라인 장터를 운영했다 최갑천 기자 헉 소리나는 스 토리 뉴스 헉스 클릭해 뉴스 들어간다 뉴스쿨 세상에 이런일이 파스 저작권자 파이낸셜뉴스 무단 전재 재배포 금지 "
"41"," 오류를 우회하기 위한 함수 추가 버스전용차로 연장 운영 기차역 터미널 등 불법 주정차 단속 년 추석 연휴 마지막날 경기 성남 서울요금소에서 바라본 경부고속도로 연합뉴스 자료사진 서울 연합뉴스 김지헌 기자 서울시는 교통량이 늘어나는 추석을 맞아 특별교통대책을 시행한다고 일 밝혔다 귀경객이 몰리는 일 추석 당일과 일은 지하철과 버스 막차 시간을 다음날 오전 시까지 늦춘다 지하철 호선 우이신설선은 종착역 도착 시간 기준 오전 시까지 운행한다 출발 시간 기준으로 언제까지 탑승할 수 있는지는 역과 행선지마다 다르므로 확인해야 한다 시내버스는 서울역 용산역 영등포역 청량리역 수서역 등 기차역 곳 서울고속 동서울 남부 상봉 등 버스터미널 곳을 경유하는 개 노선을 연장 운행한다 버스는 기차역과 터미널 앞의 버스 차고지 방면 정류소 정차 시간을 기준으로 오전 시까지 운행한다 올빼미버스 개 노선과 심야 전용 택시 천 여대는 연휴 기간 내내 정상 운행한다 성묘객을 위해 일 시립묘지를 경유하는 개 시내버스의 운행 횟수를 늘린다 용미리로 가는 번 망우리로 가는 번이 대상이다 일 서울에서 출발하는 고속 시외버스 역시 운행 횟수를 하루 평균 천 회씩 늘린다 만차 기준 하루 수송 가능 인원은 평소보다 만여명 늘어난 만여명이다 고속도로 버스전용 차로 운영은 확대 시행한다 평소 오전 시부터 오후 시까지인 경부고속도로 한남 신탄진 구간의 버스전용 차로는 일 오전 시부터 다음날 오전 시까지 운영한다 시는 연휴 기간 불법 주정차를 일삼는 얌체족 도 단속한다 기차역과 터미널 등 상습 위반 지역은 물론 소방시설 어린이 노인 보호구역도 집중적으로 단속에 나설 방침이다 다만 전통시장 주변은 소상공인 지원 차원에서 단속을 완화한다 서울교통정보센터 토피스 홈페이지 와 스마트폰 애플리케이션 서울교통포털 은 일자별 시간대별 서울 시내 도로의 정체 구간과 통과 소요 예측 시간을 알려준다 궁금한 점은 다산콜센터 로 문의하면 된다 황보연 서울시 도시교통실장은 추석 명절을 맞아 귀성 성묘를 나서는 시민들의 교통 불편이 없도록 시간 빈틈없는 대중교통 서비스를 제공할 것 이라고 말했다 확 달라진 연합뉴스 웹을 만나보세요 네이버 연합뉴스 채널 구독 뭐 하고 놀까 흥 "
"42"," 오류를 우회하기 위한 함수 추가 국민은행과 카카오뱅크가 추석 연휴 일부거래가 제한됩니다 오늘 일 금융위원회에 따르면 국민은행은 오는 일 카드 차세대 전산 시스템 개설을 앞두고 오늘 시부터 일 오전 시까지 카드 관련 일부 서비스를 중단합니다 연휴기간 신용카드의 오프라인 결제는 가능하지만 온라인 이용과 체크 선불 직불카드 이용은 일 오후 시 분부터 분간 멈춥니다 카드론은 일 오후 시 분부터 중단돼 일 오전 시까지 이용할 수 없습니다 자동화기기 를 이용한 현금서비스 단기카드대출 는 일 오후 시 분부터 분간 중단됩니다 결제는 일 오후 시 분부터 일 오전 시 분까지 시간 분간 이용할 수 없습니다 카카오뱅크도 체크카드 업무를 대행하는 카드의 차세대 전산 시스템 개설과 해외송금 제휴사의 업무 중단에 따라 일부 서비스가 제공되지 않습니다 먼저 일 시부터 일 시까지 나흘간 신규 재발급과 해외 안심 결제 시큐어 의 신규 등록이 중단됩니다 일 오후 시 분부터 이튿날 시 분까지 분간은 온 오프라인 카드 결제가 중단됩니다 같은 시간 카드 신청과 사용 등록 분실 도난 사고 신고 접수 서비스가 멈춥니다 해외 계좌 송금받기 해외 송금 반환 거래 외국환 은행 지정 서비스는 연휴 내내 중단됩니다 단 해외송금 서비스 중 송금은 정상 운영됩니다 류정훈 기자 의견 있는 경제채널 홈페이지 경제를 실험한다 머니랩 네이버 저작권자 미디어넷 무단전재 재배포 금지 "
"43"," 오류를 우회하기 위한 함수 추가 올해 추석 고향에 갈 때 연휴 첫날인 일 오후 시 이후에 출발하면 교통 정체를 다소 피할 수 있다는 예측이 나왔습니다 카카오모빌리티가 최근 년치 카카오내비 빅데이터를 활용해 서울에서 부산 대전 광주간 고속도로의 추석 연휴 교통량을 분석한 결과 귀성은 일 오후 시 이후 귀경은 일 오후 시 이후에 출발하면 극심한 정체는 피할 수 있을 것으로 예측됐습니다 고속도로가 가장 막히는 시점은 귀성길은 일 오전 시에서 오후 시 귀경길은 일 오전 시에서 오후 시로 예상됐습니다 카카오모빌리티는 정체 중에 고속도로 휴게소를 이용해야 한다면 휴게소 사이의 거리와 교통량 소요 시간 등을 고려할 때 경부고속도로는 죽암휴게소 서해안고속도로는 서산휴게소를 들르는 것이 좋겠다고 추천했습니다 지영은 기자 저작권자 무단복제 재배포 금지 네이버 홈에서 뉴스 채널 구독하기 엠빅뉴스 차 번호 개까지 외웠던 전설의 수문장 권문현 지배인 경찰 신상공개 결정된 흉악범죄자의 머그샷 공개 검토중 "
"44"," 오류를 우회하기 위한 함수 추가 취업 압박감에 연휴에도 못 쉬고 구직활동취업 이태호 제작 일러스트 서울 연합뉴스 김영신 기자 직장인 명 중 명이 추석 연휴에 이직을 준비한다는 조사 결과가 나왔다 일 취업포털 잡코리아가 최근 직장인 명을 대상으로 실시한 설문조사 결과에 따르면 가 추석 연휴에 이직 준비를 하겠다 고 답했다 취업준비생 명 중 도 연휴에 취업 준비를 한다고 응답했다 직장인과 취업준비생이 모두 명절 연휴에 구직 활동을 하는 이유는 취업 압박감 때문이다 그만큼 취업이 급하고 중요해서 라는 응답이 직장인은 취업준비생은 였다 어차피 마음 편히 쉴 수 없다 직장인 취준생 쉬는 것이 눈치가 보인다 직장인 취준생 라는 의견도 많았다 추석 연휴에 하는 구직활동은 채용 공고 검색 이력서 자기소개서 작성 어학 자격증 시험 준비 등이다 이들과 달리 하반기에 취업 이직 계획이 있지만 연휴에는 쉬겠다는 응답자는 였다 추석 연휴에 구직활동을 하지 않는 이유는 어차피 집중이 안 될 것 같아서 연휴에는 충전을 하기 위해 가 많았다 확 달라진 연합뉴스 웹을 만나보세요 네이버 연합뉴스 채널 구독 뭐 하고 놀까 흥 "
"45"," 오류를 우회하기 위한 함수 추가 일 함께 웃을 수 있는 날 위해 노력 추석 내내 반가운 마음 가득하길 기원 문재인 대통령이 추석 연휴를 하루 앞둔 일 추석 인사를 하고 있다 사진 청와대 제공 파이낸셜뉴스 문재인 대통령은 추석 연휴를 하루 앞둔 일 보름달이 세상을 골고루 비추듯 국민 모두에게 공평한 나라를 소망한다 고 말했다 문 대통령은 이날 국민들에게 보내는 추석 인사 를 통해 함께 웃을 수 있는 날을 위해 항상 노력하겠다 추석 내내 반가운 마음 가득하길 기원한다 며 이같이 밝혔다 문 대통령은 먼저 태풍으로 피해 입은 분들께 위로의 말씀을 드린다 며 서로를 격려하고 기쁜 소식을 나누는 따뜻한 명절이 되길 바란다 고 희망했다 이어 고향의 달은 유난히 더 크고 밝다 며 우리를 기다리며 더 커지고 골고루 빛을 나눠주기 위해 더 밝아졌다 고 덧붙였다 연휴 기간에도 사회 곳곳에서 근무하는 분들을 향해서는 우리 주변에도 보름달 같은 분들이 많다 며 어려운 이웃들과 마음을 나누고 계신 분들 연휴 동안에도 국민의 안전을 위해 일하시는 분들께 깊이 감사드린다 고 인사를 전했다 문 대통령은 활력있는 경제가 서로를 넉넉하게 하고 공정한 사회가 서로에게 믿음을 주며 평화로운 한반도가 서로의 손을 잡게 할 것 이라며 우리는 지금 함께 잘 사는 나라를 위해 새로운 길을 가고 있다 그 길 끝에 더도 말고 덜도 말고 한가위만 같은 날이 있으리라 확신한다 고 강조했다 그러면서 보름달이 어머니의 굽은 등과 작은 창문에까지 세상을 골고루 비추듯이 국민 모두에게 공평한 나라를 소망한다 고 힘주어 말했다 다음은 문 대통령의 추석 인사 전문 국민 여러분 해외 동포 여러분 정겨운 가족 친지들과 행복한 시간 보내고 계십니까 태풍으로 피해 입은 분들께 위로의 말씀을 드리며 서로를 격려하고 기쁜 소식을 나누는 따뜻한 명절이 되길 바랍니다 고향의 달은 유난히 더 크고 밝습니다 우리를 기다리며 더 커지고 골고루 빛을 나눠주기 위해 더 밝아졌습니다 우리 주변에도 보름달 같은 분들이 많습니다 어려운 이웃들과 마음을 나누고 계신 분들 연휴 동안에도 국민의 안전을 위해 일하시는 분들께 깊이 감사드립니다 활력있는 경제가 서로를 넉넉하게 하고 공정한 사회가 서로에게 믿음을 주며 평화로운 한반도가 서로의 손을 잡게 할 것입니다 우리는 지금 함께 잘 사는 나라를 위해 새로운 길을 가고 있습니다 그 길 끝에 더도 말고 덜도 말고 한가위만 같은 날이 있으리라 확신합니다 보름달이 어머니의 굽은 등과 작은 창문에까지 세상을 골고루 비추듯이 국민 모두에게 공평한 나라를 소망합니다 함께 웃을 수 있는 날을 위해 항상 노력하겠습니다 추석 내내 반가운 마음 가득하길 기원합니다 감사합니다 김호연 기자 헉 소리나는 스 토리 뉴스 헉스 클릭해 뉴스 들어간다 뉴스쿨 세상에 이런일이 파스 저작권자 파이낸셜뉴스 무단 전재 재배포 금지 "
"46"," 오류를 우회하기 위한 함수 추가 길게 늘어선 차량 행렬 전주 연합뉴스 임채두 기자 추석 연휴 셋째 날인 지난 일 오전 호남고속도로 상행선 전주 부근에 차량이 길게 늘어서 있다 항공촬영협조 전북경찰청 항공대 기장 권혜천 경감 부기장 김인수 경위 서울 연합뉴스 권선미 기자 추석 연휴 마지막 날인 일 오전 고향을 찾았다가 수도권으로 돌아오는 귀경 차량이 서서히 몰리면서 정체가 시작될 전망이다 한국도로공사에 따르면 이날 오전 시 분부터 경부고속도로 서울 방향 안성분기점 인근 구간에서 차들이 정체되고 있다 도로공사는 이날 하루 교통량이 만대에 이를 것으로 예상했다 이 중 고속도로로 수도권에서 지방으로 이동하는 차량이 만 대 지방에서 수도권으로 가는 차량은 만 대로 추산된다 이날 오전 시 승용차로 전국 주요 도시에서 출발해 서울요금소까지 걸리는 시간은 부산 시간 울산 시간 분 목포 시간 분 대구 시간 광주 시간 분 강릉 시간 대전 시간 등이다 서울 요금소에서 전국 주요 도시까지 소요시간은 대전 시간 분 강릉 시간 분 광주 시간 분 목포 시간 분 대구 시간 분 울산 시간 분 부산 시간 분 등으로 예상된다 오전 시께 시작된 서울 방향 정체는 오후 시에 절정에 이르렀다가 오후 시부터 해소될 전망이다 도로공사는 추석 연휴 마지막 날 오후 시간대에 막바지 귀경차량으로 인해 혼잡할 것으로 예상되나 평소 주말 수준일 것 으로 전망했다 일 오전 시 기준 전국 주요도시간 예상 소요시간 한국도로공사 제공 확 달라진 연합뉴스 웹을 만나보세요 네이버 연합뉴스 채널 구독 뭐 하고 놀까 흥 "
"47"," 오류를 우회하기 위한 함수 추가 텔레콤 모델이 맵을 홍보하고 있다 텔레콤 제공추석 연휴 기간 운전자들이 찾은 인기 목적지는 인천국제공항 터미널 통합 기준 인 것으로 나타났다 인천국제공항은 지난 년부터 년째 추석 연휴 기간 부동의 목적지 순위 위를 기록 중이다 텔레콤은 세대 시대의 첫 추석 당일인 지난 일 맵 사용자가 역대 최다인 만 명을 기록하며 기존 기록인 지난 월말의 만명을 넘어섰다고 일 밝혔다 또한 이날 운전자들의 길안내 요청 건수도 총 만여건 재탐색 포함 전체 요청건수는 억 만여건 으로 역대 최다를 기록했다 추석 연휴 기간 일별 이용자수는 일 만을 시작으로 일 만 일 만 일 만 일 만을 각각 기록했다 이 기간의 사용자수는 총 만명에 달했다 기반의 음성 를 통해 운전 중 안전하게 전화 수발신은 물론 주유소 찾기나 음악재생 등 다양한 기능을 이용할 수 있는 맵 누구 인사이드 서비스 이용도 크게 증가해 일 만여명을 기록했다 인포그래픽 텔레콤인천국제공항에 이어 번째와 번째 인기 목적지는 스타필드 하남과 스타필드 고양인 것으로 나타났다 지난 년 추석 연휴 기간에는 위 목적지였던 스타필드 하남점 는 년 고양점 오픈 이후에는 양 매장이 상위권에 머물며 추석 연휴 최고의 핫플레이스임을 증명했다 이어 신세계사이먼 여주 프리미엄 아울렛 동서울종합터미널 에버랜드 현대프리미엄아울렛 김포점 신세계사이먼 파주 프리미엄 아울렛 국립이천호국원 광명역 순으로 운전자들의 방문이 많았던 것으로 나타났다 장유성 텔레콤 장유성 모빌리티 사업단장은 월 평균 실사용자 만명의 맵이 지난 추석 다시 한 번 고객의 사랑 덕분에 역대 최다 일간 사용자인 만명을 기록하게 돼 기쁘다 며 앞으로도 맵 기본 성능의 끊임없는 향상과 함께 다양한 편의 기능을 추가해 운전자들의 이용 편의를 극대화 시키겠다 고 밝혔다 이경탁 기자 "
"48"," 오류를 우회하기 위한 함수 추가 알바생 분의 는 추석연휴에도 근무 서울 연합뉴스 최재서 기자 직장인과 아르바이트생의 절반이 추석 연휴에도 쉬지 못하고 출근할 것으로 보인다 취업포털 잡코리아는 일 직장인 명과 알바생 명을 대상으로 추석 연휴 근무 현황을 조사한 결과 직장인의 알바생의 가 근무하는 것으로 나타났다 그중 추석 당일인 일에도 근무하는 직장인과 알바생은 였다 직장인 직무별로는 영업 관리 직무의 홍보 마케팅의 생산 제조의 가 출근 예정이라고 답해 비중이 높았다 아르바이트생은 매장관리 업무 가 추석 연휴에 출근한다고 답했다 추석에 근무 예정인 응답자 가운데 별도 수당 없이 평소와 같은 급여가 지급된다 고 답한 직장인은 알바생은 에 달했다 또한 직장인의 알바생의 만이 추석 근무로 보상 휴가가 주어진다고 답했다 추석 연휴에도 출근하는 이유로는 매장 사무실이 정상 운영하기 때문 이라는 답변이 로 가장 많았고 추가수당 등 돈을 벌기 위해 자발적으로 출근 이 로 뒤를 이었다 알바생 직장인 추석 연휴에도 일해요 잡코리아 제공 확 달라진 연합뉴스 웹을 만나보세요 네이버 연합뉴스 채널 구독 뭐 하고 놀까 흥 "
